file	pr	ref
2320-identity-versions.md	3325	refs/pr/upstream/3325
2366-key-verification-accept.md	3325	refs/pr/upstream/3325
2403-knock.md	3325	refs/pr/upstream/3325
2414-optional-content-reporting-reason.md	3325	refs/pr/upstream/3325
2557-spoiler-clarifications.md	3325	refs/pr/upstream/3325
2713-remove-deprecated-identity-endpoints.md	3325	refs/pr/upstream/3325
2732-olm-fallback-keys.md	3325	refs/pr/upstream/3325
2758-textual-id-grammar.md	3325	refs/pr/upstream/3325
2765-widget-avatars.md	3325	refs/pr/upstream/3325
2774-widget-id.md	3325	refs/pr/upstream/3325
2778-appservice-login.md	3325	refs/pr/upstream/3325
2788-v6-default-version.md	3325	refs/pr/upstream/3325
2801-untrusted-event-data.md	3325	refs/pr/upstream/3325
2844-global-versioning.md	3325	refs/pr/upstream/3325
2858-Multiple-SSO-Identity-Providers.md	3325	refs/pr/upstream/3325
2874-single-ssss.md	3325	refs/pr/upstream/3325
2998-rooms-v7.md	3325	refs/pr/upstream/3325
3083-restricted-rooms.md	3325	refs/pr/upstream/3325
3122-deprecate-starting-verifications-without-request.md	3325	refs/pr/upstream/3325
3173-expose-stripped-state-events.md	3325	refs/pr/upstream/3325
3289-rooms-v8.md	3325	refs/pr/upstream/3325
3325-upgrading-invite-only-rooms.md	3325	refs/pr/upstream/3325
1543-qr_code_key_verification.md	3338	refs/pr/upstream/3338
1756-cross-signing.md	3338	refs/pr/upstream/3338
1772-groups-as-rooms.md	3338	refs/pr/upstream/3338
1960-integrations-openid.md	3338	refs/pr/upstream/3338
2010-spoilers.md	3338	refs/pr/upstream/3338
2184-allow-html-details.md	3338	refs/pr/upstream/3338
2241-e2e-verification-in-dms.md	3338	refs/pr/upstream/3338
2265-email-lowercase.md	3338	refs/pr/upstream/3338
2312-matrix-uri.md	3338	refs/pr/upstream/3338
2320-identity-versions.md	3338	refs/pr/upstream/3338
2366-key-verification-accept.md	3338	refs/pr/upstream/3338
2403-knock.md	3338	refs/pr/upstream/3338
2414-optional-content-reporting-reason.md	3338	refs/pr/upstream/3338
2557-spoiler-clarifications.md	3338	refs/pr/upstream/3338
2713-remove-deprecated-identity-endpoints.md	3338	refs/pr/upstream/3338
2732-olm-fallback-keys.md	3338	refs/pr/upstream/3338
2758-textual-id-grammar.md	3338	refs/pr/upstream/3338
2765-widget-avatars.md	3338	refs/pr/upstream/3338
2774-widget-id.md	3338	refs/pr/upstream/3338
2778-appservice-login.md	3338	refs/pr/upstream/3338
2788-v6-default-version.md	3338	refs/pr/upstream/3338
2801-untrusted-event-data.md	3338	refs/pr/upstream/3338
2844-global-versioning.md	3338	refs/pr/upstream/3338
2858-Multiple-SSO-Identity-Providers.md	3338	refs/pr/upstream/3338
2874-single-ssss.md	3338	refs/pr/upstream/3338
2998-rooms-v7.md	3338	refs/pr/upstream/3338
3083-restricted-rooms.md	3338	refs/pr/upstream/3338
3122-deprecate-starting-verifications-without-request.md	3338	refs/pr/upstream/3338
3173-expose-stripped-state-events.md	3338	refs/pr/upstream/3338
3289-rooms-v8.md	3338	refs/pr/upstream/3338
3338-preview-iframe.md	3338	refs/pr/upstream/3338
1543-qr_code_key_verification.md	3356	refs/pr/upstream/3356
1756-cross-signing.md	3356	refs/pr/upstream/3356
1772-groups-as-rooms.md	3356	refs/pr/upstream/3356
1960-integrations-openid.md	3356	refs/pr/upstream/3356
2010-spoilers.md	3356	refs/pr/upstream/3356
2184-allow-html-details.md	3356	refs/pr/upstream/3356
